player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0036857,Chris Evans,RB,CIN,350.0,70,73.0,53.0,5.0,Handcuff
00-0038045,Isaiah Spiller,RB,LV,350.0,75,73.0,53.0,5.0,Handcuff
00-0038120,Breece Hall,RB,NYJ,350.0,70,73.0,53.0,5.0,Handcuff
00-0036567,Elijah Mitchell,RB,SF,350.0,70,73.0,53.0,5.0,Handcuff
00-0039373,Audric Estimé,RB,DEN,350.0,90,73.0,53.0,5.0,Handcuff
00-0038738,Hunter Luepke,RB,DAL,350.0,60,73.0,53.0,5.0,Handcuff
00-0039794,Braelon Allen,RB,NYJ,350.0,95,73.0,53.0,5.0,Handcuff
00-0038542,Bijan Robinson,RB,ATL,350.0,95,73.0,53.0,5.0,Handcuff
00-0037617,Hassan Haskins,RB,LAC,350.0,75,73.0,53.0,5.0,Handcuff
00-0038797,Emanuel Wilson,RB,GB,350.0,60,73.0,53.0,5.0,Handcuff
00-0038705,Emari Demercado,RB,ARI,350.0,75,73.0,53.0,5.0,Handcuff
00-0036950,Avery Williams,RB,ATL,350.0,95,73.0,53.0,5.0,Handcuff
00-0038396,Eric Gray,RB,NYG,350.0,75,73.0,53.0,5.0,Handcuff
00-0036569,Gary Brightwell,RB,CIN,350.0,70,73.0,53.0,5.0,Handcuff
00-0037157,Bam Knight,RB,NYJ,350.0,75,73.0,53.0,5.0,Handcuff
00-0038611,Chris Rodriguez Jr.,RB,WAS,350.0,75,73.0,53.0,5.0,Handcuff
00-0037746,Brian Robinson,RB,WAS,350.0,95,73.0,53.0,5.0,Handcuff
00-0037197,Isiah Pacheco,RB,KC,350.0,70,73.0,53.0,5.0,Handcuff
00-0038862,Elijah Dotson,RB,ATL,350.0,75,73.0,53.0,5.0,Handcuff
00-0036555,Chuba Hubbard,RB,CAR,350.0,95,73.0,53.0,5.0,Handcuff
00-0036860,Jake Funk,RB,JAX,350.0,75,73.0,53.0,5.0,Handcuff
00-0039139,Jahmyr Gibbs,RB,DET,350.0,95,73.0,53.0,5.0,Handcuff
00-0038685,Chris Brooks,RB,GB,350.0,60,73.0,53.0,5.0,Handcuff
00-0037258,Dameon Pierce,RB,HOU,350.0,85,73.0,53.0,5.0,Handcuff
00-0038597,Chase Brown,RB,CIN,350.0,60,73.0,53.0,5.0,Handcuff
00-0039040,De'Von Achane,RB,MIA,350.0,90,73.0,53.0,5.0,Handcuff
00-0036493,Deon Jackson,RB,NYJ,350.0,70,73.0,53.0,5.0,Handcuff
00-0038794,Jaleel McLaughlin,RB,DEN,350.0,95,73.0,53.0,5.0,Handcuff
00-0038622,Deuce Vaughn,RB,DAL,350.0,75,73.0,53.0,5.0,Handcuff
00-0039361,Bucky Irving,RB,TB,350.0,95,73.0,53.0,5.0,Handcuff
00-0039325,Carson Steele,RB,KC,350.0,90,73.0,53.0,5.0,Handcuff
00-0039738,Blake Corum,RB,LA,350.0,95,73.0,53.0,5.0,Handcuff
00-0036450,Ke'Shawn Vaughn,RB,SF,349.8629878184703,85,178.0,136.0,,Deep League
00-0039363,Isaac Guerendo,RB,SF,349.42732641095785,90,179.0,137.0,5.0,Handcuff
00-0036096,J.J. Taylor,RB,HOU,349.41232522994704,85,180.0,138.0,5.0,Handcuff
00-0039364,Sione Vaki,RB,DET,349.33268539378196,75,181.0,139.0,,Deep League
00-0039874,Jaylen Wright,RB,MIA,349.2657066339071,90,182.0,140.0,,Deep League
00-0035099,Khari Blasingame,RB,PHI,348.8030606568721,85,186.0,141.0,,Deep League
00-0036158,J.K. Dobbins,RB,LAC,347.74928700795715,70,190.0,142.0,5.0,Handcuff
00-0038397,Evan Hull,RB,IND,347.7337092097125,75,191.0,143.0,5.0,Handcuff
00-0039344,Jonathon Brooks,RB,CAR,346.8590670887097,75,193.0,144.0,,Deep League
00-0036020,Salvon Ahmed,RB,IND,346.5885853888852,85,194.0,145.0,,Deep League
00-0038636,Kenny McIntosh,RB,SEA,346.57559629090986,75,195.0,146.0,,Deep League
00-0037299,Keaontay Ingram,RB,KC,345.6233687696376,75,199.0,147.0,,Deep League
00-0035806,JaMycal Hasty,RB,NE,344.8591527248139,70,202.0,148.0,5.0,Handcuff
00-0039798,Isaiah Davis,RB,NYJ,344.3071250007269,75,204.0,149.0,5.0,Handcuff
00-0039746,Will Shipley,RB,PHI,344.2647733669179,75,205.0,150.0,,Deep League
00-0037563,Malik Davis,RB,DAL,344.2647733669179,75,205.0,150.0,,Deep League
00-0039703,Cody Schrader,RB,LA,343.8736610510168,75,210.0,152.0,5.0,Handcuff
