player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label
00-0039462,Peter LeBlanc,WR,CHI,201.2118181861043,Low,,,24.4,197.0,92.0,,Deep League
00-0039816,Anthony Gould,WR,IND,201.2118181861043,Low,,,24.4,197.0,92.0,5.0,Deep League
00-0039342,Xavier Legette,WR,CAR,201.2118181861043,Low,,,24.6,197.0,92.0,,Deep League
00-0039541,Lideatrick Griffin,WR,CLE,201.2118181861043,Low,,,24.6,197.0,92.0,,Deep League
00-0039355,Luke McCaffrey,WR,WAS,201.2118181861043,Low,,,24.4,197.0,92.0,,Deep League
00-0039386,Bub Means,WR,NO,201.2118181861043,Low,,,24.6,197.0,92.0,5.0,Deep League
00-0039522,Corey Crooms,WR,DAL,201.2118181861043,Low,,,24.4,197.0,92.0,,Deep League
00-0039394,Casey Washington,WR,ATL,201.2118181861043,Low,,,24.5,197.0,92.0,5.0,Deep League
00-0036345,K.J. Osborn,WR,WAS,200.14500900563758,High,226.00000381469727,15.0,28.2,226.0,121.0,,Deep League
00-0036233,Donovan Peoples-Jones,WR,DET,199.69075263328517,High,288.10000152885914,17.0,26.5,227.0,122.0,,Deep League
00-0033536,Mike Williams,WR,PIT,199.15092748438434,Medium,88.20000153779984,3.0,30.9,228.0,123.0,,Deep League
00-0037664,Alec Pierce,WR,IND,199.06721865932732,High,167.4000015258789,17.0,25.3,229.0,124.0,5.0,Deep League
00-0036657,Seth Williams,WR,DAL,197.51334189381865,Low,,,25.4,232.0,125.0,,Deep League
00-0034732,Alex McGough,WR,GB,197.35214716059295,Low,,,29.8,233.0,126.0,5.0,Deep League
00-0034395,Daurice Fountain,WR,DET,197.35214716059295,Low,,,29.7,233.0,126.0,,Deep League
00-0039543,Ramel Keyton,WR,LV,197.2192524053665,Low,,,25.0,235.0,128.0,,Deep League
00-0038728,Jared Wayne,WR,HOU,197.2192524053665,Low,,,24.9,235.0,128.0,,Deep League
00-0038954,Izaiah Gathings,WR,PIT,197.2192524053665,Low,,,25.0,235.0,128.0,,Deep League
00-0039255,Tayvion Robinson,WR,CAR,197.2192524053665,Low,,,24.9,235.0,128.0,,Deep League
00-0039916,Ricky Pearsall,WR,SF,197.2192524053665,Low,,,25.0,235.0,128.0,,Deep League
00-0039521,Xavier Weaver,WR,ARI,197.2192524053665,Low,,,24.9,235.0,128.0,,Deep League
00-0039880,Malik Washington,WR,MIA,197.2192524053665,Low,,,24.9,235.0,128.0,,Deep League
00-0038806,Malik Knowles,WR,GB,197.2192524053665,Low,,,25.0,235.0,128.0,,Deep League
00-0039621,Kyle Sheets,WR,KC,197.2192524053665,Low,,,24.9,235.0,128.0,,Deep League
00-0039259,Dayton Wade,WR,BAL,197.2192524053665,Low,,,25.0,235.0,128.0,,Deep League
00-0039623,Mason Tipton,WR,NO,197.2192524053665,Low,,,24.9,235.0,128.0,,Deep League
00-0039751,Jordan Whittington,WR,LA,197.2192524053665,Low,,,24.9,235.0,128.0,,Deep League
00-0038902,Shaquan Davis,WR,PIT,196.9173026451013,Low,,,25.6,247.0,140.0,,Deep League
00-0039278,Tyler Harrell,WR,NYJ,196.9173026451013,Low,,,25.1,247.0,140.0,,Deep League
00-0038671,Jaray Jenkins,WR,PIT,196.9173026451013,Low,,,25.7,247.0,140.0,,Deep League
00-0039474,Lawrence Keys,WR,BUF,196.9173026451013,Low,,,25.7,247.0,140.0,,Deep League
00-0038891,Shedrick Jackson,WR,LV,196.9173026451013,Low,,,25.9,247.0,140.0,,Deep League
00-0038519,Nikko Remigio,WR,KC,196.9173026451013,Low,,,25.8,247.0,140.0,,Deep League
00-0039329,Julian Hicks,WR,GB,196.9173026451013,Low,,,25.9,247.0,140.0,,Deep League
00-0038969,Kearis Jackson,WR,NYG,196.9173026451013,Low,,,25.7,247.0,140.0,,Deep League
00-0039592,Tanner Knue,WR,TB,196.9173026451013,Low,,,25.8,247.0,140.0,,Deep League
00-0039397,Tejhaun Palmer,WR,ARI,196.9173026451013,Low,,,25.3,247.0,140.0,,Deep League
00-0039701,Terique Owens,WR,SF,196.9173026451013,Low,,,25.9,247.0,140.0,,Deep League
00-0038844,Tre'Shaun Harrison,WR,TEN,196.9173026451013,Low,,,25.2,247.0,140.0,,Deep League
00-0038502,T.J. Luther,WR,CAR,196.9173026451013,Low,,,25.3,247.0,140.0,,Deep League
00-0037172,Kyric McGowan,WR,MIA,196.9173026451013,Low,,,25.8,247.0,140.0,,Deep League
00-0039500,Sam Pinckney,WR,CAR,196.9173026451013,Low,,,25.9,247.0,140.0,,Deep League
00-0038824,Ryan Miller,WR,TB,196.9173026451013,Low,,,25.5,247.0,140.0,,Deep League
00-0039410,Ryan Flournoy,WR,DAL,196.9173026451013,Low,,,25.8,247.0,140.0,,Deep League
00-0039664,Jaylen Johnson,WR,LAC,196.9173026451013,Low,,,25.3,247.0,140.0,,Deep League
00-0039561,Joseph Scates,WR,JAX,196.9173026451013,Low,,,25.5,247.0,140.0,,Deep League
00-0039479,Je'Quan Burton,WR,MIA,196.9173026451013,Low,,,25.5,247.0,140.0,,Deep League
00-0039536,Jeff Foreman,WR,LV,196.9173026451013,Low,,,25.7,247.0,140.0,,Deep League
00-0038839,Mitchell Tinsley,WR,WAS,196.9173026451013,Low,,,26.0,247.0,140.0,,Deep League
00-0039843,Qadir Ismail,WR,BAL,196.9173026451013,Low,,,25.5,247.0,140.0,,Deep League
00-0039914,Praise Olatoke,WR,CAR,196.9173026451013,Low,,,25.2,247.0,140.0,,Deep League
00-0039314,Phillip Brooks,WR,KC,196.9173026451013,Low,,,26.0,247.0,140.0,,Deep League
00-0037231,Kevin Austin Jr.,WR,NO,196.9173026451013,Low,,,25.4,247.0,140.0,,Deep League
00-0038679,Tyrell Shavers,WR,BUF,196.9173026451013,Low,,,26.0,247.0,140.0,,Deep League
00-0039710,Jeshaun Jones,WR,MIN,196.9173026451013,Low,,,25.7,247.0,140.0,,Deep League
00-0039505,John Jiles,WR,NE,196.9173026451013,Low,,,25.1,247.0,140.0,,Deep League
00-0039760,John Jackson,WR,CHI,196.9173026451013,Low,,,26.0,247.0,140.0,,Deep League
00-0039614,Jermaine Jackson,WR,NO,196.9173026451013,Low,,,25.2,247.0,140.0,,Deep League
00-0039392,Jha'Quan Jackson,WR,TEN,196.9173026451013,Low,,,25.3,247.0,140.0,,Deep League
00-0039330,Dimitri Stanley,WR,GB,196.9173026451013,Low,,,25.9,247.0,140.0,,Deep League
00-0039626,Cole Burgess,WR,CIN,196.9173026451013,Low,,,25.6,247.0,140.0,,Deep League
00-0038147,Daylen Baldwin,WR,ARI,196.9173026451013,Low,,,25.8,247.0,140.0,,Deep League
00-0039730,Isaiah Wooden,WR,LAC,196.9173026451013,Low,,,25.6,247.0,140.0,,Deep League
00-0039722,JaQuae Jackson,WR,NE,196.9173026451013,Low,,,25.6,247.0,140.0,,Deep League
00-0038651,Chase Cota,WR,NYG,196.9173026451013,Low,,,25.8,247.0,140.0,5.0,Deep League
00-0038805,Cephus Johnson III,WR,TB,196.9173026451013,Low,,,25.9,247.0,140.0,5.0,Deep League
00-0039306,Dee Williams,WR,NYG,196.9173026451013,Low,,,25.7,247.0,140.0,,Deep League
00-0039562,David White Jr.,WR,JAX,196.9173026451013,Low,,,25.1,247.0,140.0,,Deep League
00-0038477,Bryce Ford-Wheaton,WR,NYG,196.9173026451013,Low,,,25.5,247.0,140.0,5.0,Deep League
00-0038627,Antoine Green,WR,DET,196.9173026451013,Low,,,25.8,247.0,140.0,5.0,Deep League
00-0039298,Hayden Hatten,WR,SEA,196.9173026451013,Low,,,25.1,247.0,140.0,,Deep League
00-0039650,Bryce Oliver,WR,TEN,196.9173026451013,Low,,,25.3,247.0,140.0,5.0,Deep League
00-0039604,Jadon Janke,WR,MIA,196.9173026451013,Low,,,25.8,247.0,140.0,,Deep League
00-0039659,Jaelen Gill,WR,CLE,196.9173026451013,Low,,,25.8,247.0,140.0,,Deep League
00-0038840,Brycen Tremayne,WR,WAS,196.9173026451013,Low,,,25.8,247.0,140.0,5.0,Deep League
00-0038953,Dylan Drummond,WR,ATL,196.9173026451013,Low,,,25.6,247.0,140.0,,Deep League
00-0038472,Duece Watts,WR,PIT,196.9173026451013,Low,,,25.7,247.0,140.0,,Deep League
00-0038612,A.T. Perry,WR,DEN,196.9173026451013,Low,,,25.9,247.0,140.0,5.0,Deep League
00-0035101,Davion Davis,WR,WAS,195.80340864407842,Low,,,28.9,298.0,191.0,,Deep League
00-0036775,Brandon Smith,WR,NYJ,194.31325575115744,Low,,,26.7,300.0,192.0,5.0,Deep League
00-0035297,Kelvin Harmon,WR,DAL,194.08915229075245,Low,,,28.7,301.0,193.0,,Deep League
00-0035701,Marcus Simms,WR,SEA,194.08915229075245,Low,,,27.7,301.0,193.0,,Deep League
00-0038734,David Durden,WR,DAL,193.72890354653262,Low,,,26.7,303.0,195.0,,Deep League
00-0036080,Easop Winston,WR,NYJ,193.3822211865611,Low,,,28.7,304.0,196.0,,Deep League
00-0036463,Chris Blair,WR,ATL,193.3822211865611,Low,,,27.9,304.0,196.0,,Deep League
00-0036491,Tarik Black,WR,MIA,193.3822211865611,Low,,,27.6,304.0,196.0,,Deep League
00-0036939,Kawaan Baker,WR,NE,193.3822211865611,Low,,,27.0,304.0,196.0,,Deep League
00-0036959,Michael Bandy,WR,DEN,193.3822211865611,Low,,,27.7,304.0,196.0,,Deep League
00-0036647,Cornell Powell,WR,SEA,193.3822211865611,Low,,,27.8,304.0,196.0,,Deep League
00-0036627,Dez Fitzpatrick,WR,LAC,193.3822211865611,Low,,,27.7,304.0,196.0,,Deep League
00-0035869,Austin Mack,WR,ATL,193.3822211865611,Low,,,28.0,304.0,196.0,5.0,Deep League
00-0036858,Jalen Camp,WR,CLE,193.3822211865611,Low,,,27.1,304.0,196.0,,Deep League
00-0035934,Trishton Jackson,WR,MIN,193.3822211865611,Low,,,27.5,304.0,196.0,,Deep League
00-0037708,Maurice Alexander,WR,DET,193.3822211865611,Low,,,28.6,304.0,196.0,,Deep League
00-0036918,Jacob Harris,WR,PHI,193.3822211865611,Low,,,28.4,304.0,196.0,,Deep League
00-0036676,Austin Watkins Jr.,WR,PHI,193.3822211865611,Low,,,27.5,304.0,196.0,5.0,Deep League
00-0035976,Dan Chisena,WR,CAR,193.3822211865611,Low,,,28.5,304.0,196.0,,Deep League
00-0036471,Mathew Sexton,WR,MIA,193.3822211865611,Low,,,27.9,304.0,196.0,,Deep League
00-0038181,Lucky Jackson,WR,MIN,193.3822211865611,Low,,,28.1,304.0,196.0,,Deep League
00-0035876,Andre Baccellia,WR,ARI,193.3822211865611,Low,,,28.6,304.0,196.0,5.0,Deep League
00-0033282,Curtis Samuel,WR,BUF,193.3358550046863,High,283.699999332428,16.0,29.1,321.0,213.0,,Deep League
00-0038149,Josh Ali,WR,ATL,193.0561790638248,Low,,,26.5,322.0,214.0,,Deep League
00-0037828,Danny Gray,WR,PHI,193.0561790638248,Low,,,26.4,322.0,214.0,,Deep League
00-0038632,Colton Dowell,WR,TEN,193.0561790638248,Low,,,26.4,322.0,214.0,,Deep League
00-0038762,Matt Landers,WR,NE,193.0561790638248,Low,,,26.2,322.0,214.0,,Deep League
00-0037055,Lance McCutcheon,WR,PIT,193.0561790638248,Low,,,26.5,322.0,214.0,,Deep League
00-0037272,Montrell Washington,WR,KC,193.0561790638248,Low,,,26.5,322.0,214.0,,Deep League
00-0037570,Dennis Houston,WR,TB,193.0561790638248,Low,,,26.4,322.0,214.0,,Deep League
00-0039771,Sam Wiglusz,WR,LA,193.0561790638248,Low,,,26.1,322.0,214.0,,Deep League
00-0039525,Cam Johnson,WR,CAR,193.0561790638248,Low,,,26.4,322.0,214.0,5.0,Deep League
00-0039286,Marcus Riley,WR,NYJ,193.0561790638248,Low,,,26.3,322.0,214.0,,Deep League
00-0038843,Jacob Copeland,WR,PIT,193.0561790638248,Low,,,26.1,322.0,214.0,,Deep League
00-0039773,Drake Stoops,WR,LA,193.0561790638248,Low,,,26.2,322.0,214.0,,Deep League
00-0039473,Xavier Johnson,WR,HOU,193.0561790638248,Low,,,26.3,322.0,214.0,,Deep League
00-0037460,Johnny Johnson III,WR,HOU,193.0561790638248,Low,,,26.3,322.0,214.0,,Deep League
00-0038520,Ty Scott,WR,SEA,193.0561790638248,Low,,,26.4,322.0,214.0,,Deep League
00-0038681,Jalen Wayne,WR,GB,193.0561790638248,Low,,,26.3,322.0,214.0,,Deep League
00-0038680,Bryan Thompson,WR,BUF,193.0561790638248,Low,,,26.4,322.0,214.0,5.0,Deep League
00-0038760,Griffin Hebert,WR,PHI,193.0561790638248,Low,,,26.4,322.0,214.0,,Deep League
00-0038883,Isaiah Winstead,WR,NYJ,193.0561790638248,Low,,,26.1,322.0,214.0,,Deep League
00-0038726,Jesse Matthews,WR,ATL,193.0561790638248,Low,,,26.1,322.0,214.0,,Deep League
00-0038860,Terrell Bynum,WR,LV,192.7978689819363,Low,,,27.1,342.0,234.0,,Deep League
00-0037422,Kendric Pryor,WR,CIN,192.7978689819363,Low,,,27.7,342.0,234.0,,Deep League
00-0037156,Irvin Charles,WR,NYJ,192.7978689819363,Low,0.0,1.0,28.4,342.0,234.0,,Deep League
00-0038810,Thayer Thomas,WR,MIN,192.7978689819363,Low,,,27.3,342.0,234.0,,Deep League
00-0037553,Jontre Kirklin,WR,SF,192.7978689819363,Low,,,26.9,342.0,234.0,,Deep League
00-0037334,Mike Harley Jr.,WR,MIA,192.7978689819363,Low,,,27.7,342.0,234.0,,Deep League
00-0037387,Jalen Virgil,WR,BUF,192.7978689819363,Low,,,27.1,342.0,234.0,,Deep League
00-0038359,Xavier Smith,WR,LA,192.7978689819363,Low,,,27.9,342.0,234.0,,Deep League
00-0038911,Malik Cunningham,WR,BAL,192.7978689819363,Low,,,26.9,342.0,234.0,,Deep League
00-0038702,Daniel Arias,WR,ARI,192.7978689819363,Low,,,27.0,342.0,234.0,,Deep League
00-0037420,Kwamie Lassiter II,WR,CIN,192.7978689819363,Low,,,27.6,342.0,234.0,,Deep League
00-0037524,Tay Martin,WR,TEN,192.7978689819363,Low,,,27.7,342.0,234.0,,Deep League
00-0037398,Samson Nacua,WR,NO,192.7978689819363,Low,,,27.6,342.0,234.0,,Deep League
00-0037394,Ethan Fernea,WR,IND,192.7978689819363,Low,,,27.5,342.0,234.0,,Deep League
00-0039424,Devaughn Vele,WR,DEN,192.7978689819363,Low,,,27.7,342.0,234.0,,Deep League
00-0037185,Raleigh Webb,WR,TB,192.7978689819363,Low,,,27.7,342.0,234.0,,Deep League
00-0037380,Kaden Davis,WR,CLE,192.7978689819363,Low,,,26.9,342.0,234.0,,Deep League
