player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0036550,Rashod Bateman,WR,BAL,320.98494414223336,85,292.0,120.0,,Deep League
00-0031235,Odell Beckham Jr.,WR,MIA,320.5427884608788,70,293.0,121.0,,Deep League
00-0036268,Laviska Shenault Jr.,WR,LAC,320.5427884608788,70,293.0,121.0,,Deep League
00-0037239,Chris Olave,WR,NO,320.2066167501364,70,296.0,123.0,,Deep League
00-0035662,Marquise Brown,WR,KC,319.12273890322814,85,297.0,124.0,,Deep League
00-0034646,Brandon Powell,WR,MIN,319.057507496061,70,298.0,125.0,5.0,Deep League
00-0033466,Isaiah McKenzie,WR,MIA,319.01899973447223,70,299.0,126.0,,Deep League
00-0035140,Mecole Hardman,WR,KC,319.01899973447223,70,299.0,126.0,,Deep League
00-0036554,Nico Collins,WR,HOU,318.9084377952213,95,301.0,128.0,,Deep League
00-0031547,DeVante Parker,WR,PHI,318.87999817858855,85,302.0,129.0,,Deep League
00-0031941,Jamison Crowder,WR,WAS,318.74008147967504,70,303.0,130.0,,Deep League
00-0038619,Andrei Iosivas,WR,CIN,318.46559780850214,60,304.0,131.0,5.0,Deep League
00-0034297,Byron Pringle,WR,WAS,317.3947172137708,70,307.0,132.0,5.0,Deep League
00-0032791,Jakeem Grant,WR,ATL,317.24803982848755,70,308.0,133.0,,Deep League
00-0034487,Trent Sherfield,WR,MIN,316.9557601808552,70,309.0,134.0,,Deep League
00-0033591,Noah Brown,WR,WAS,316.9557601808552,70,309.0,134.0,,Deep League
00-0038752,Jake Bobo,WR,SEA,316.9526870014772,75,311.0,136.0,,Deep League
00-0036176,Mason Kinsey,WR,TEN,316.21830336320903,85,312.0,137.0,,Deep League
00-0035021,Ashton Dulin,WR,IND,316.00483257391596,70,313.0,138.0,5.0,Deep League
00-0036345,K.J. Osborn,WR,WAS,315.8853154606277,85,314.0,139.0,,Deep League
00-0036326,Chase Claypool,WR,BUF,315.8853154606277,85,314.0,139.0,5.0,Deep League
00-0032977,Rashard Higgins,WR,CLE,315.5812146506309,85,316.0,141.0,,Deep League
00-0037240,Jameson Williams,WR,DET,315.4849428190247,70,318.0,142.0,,Deep League
00-0036247,Freddie Swain,WR,CHI,315.484350327537,70,319.0,143.0,,Deep League
00-0035639,Parris Campbell,WR,PHI,315.16909466123025,70,320.0,144.0,,Deep League
00-0036988,Josh Palmer,WR,LAC,315.1297459234403,95,321.0,145.0,,Deep League
00-0034279,Equanimeous St. Brown,WR,NO,314.26782331123246,70,324.0,146.0,,Deep League
00-0036387,Jalen Reagor,WR,LAC,314.26782331123246,70,324.0,146.0,,Deep League
00-0031763,DeAndre Carter,WR,CHI,314.26782331123246,70,324.0,146.0,,Deep League
00-0032385,Sterling Shepard,WR,TB,314.0959336858131,70,327.0,149.0,,Deep League
00-0037545,Rashid Shaheed,WR,NO,313.7033443233309,70,328.0,150.0,,Deep League
