player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label,starter_probability,original_projected_points,point_change,expected_games_played,injury_risk_score,age_multiplier,player_multiplier,games_adjustment,injury_risk_category
00-0037827,Tyrion Davis-Price,RB,PHI,49.32847904974547,Medium,6.100000143051148,1.0,24.9,689.0,199.0,5,Handcuff,,60.32979452127144,-11.00131547152597,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0038622,Deuce Vaughn,RB,DAL,45.13113706736608,High,39.0,6.0,23.8,702.0,200.0,5,Handcuff,,55.19635468670672,-10.065217619340636,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0037557,Ronnie Rivers,RB,LA,39.15634352427153,High,64.00000047683716,8.0,26.6,725.0,201.0,5,Handcuff,,47.88905323112345,-8.73270970685192,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0037429,Raheem Blackshear,RB,CAR,38.338852800912754,High,33.600000858306885,8.0,27.2,728.0,202.0,5,Handcuff,,51.481871849566886,-13.143019048654132,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0035860,Tony Jones,RB,ARI,33.364631101803646,Medium,63.700000286102295,6.0,27.8,744.0,203.0,5,Handcuff,,44.80242722991011,-11.437796128106465,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0035806,JaMycal Hasty,RB,NE,31.79058016698737,Low,0.0,1.0,29.0,748.0,204.0,5,Handcuff,,42.688772736080985,-10.898192569093611,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0037120,Tyler Goodson,RB,IND,30.71638547724759,High,38.59999990463257,6.0,24.8,754.0,205.0,5,Handcuff,,37.56680238224526,-6.850416904997665,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0033376,Patrick Ricard,RB,BAL,30.60406530296492,High,32.700000286102295,6.0,31.3,755.0,206.0,5,Handcuff,,45.55771542472886,-14.953650121763946,11.42,5.58,1.8,1.0,0.6717647058823529,Very High Risk
00-0036569,Gary Brightwell,RB,CIN,27.279217239167576,Medium,67.50000047683716,9.0,27.5,765.0,207.0,5,Handcuff,,36.63086043174161,-9.351643192574034,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0033893,Dalvin Cook,RB,DAL,27.1775270405014,Medium,120.50000095367432,15.0,30.1,766.0,208.0,5,Handcuff,,50.284932486778814,-23.10740544627741,9.188,7.811999999999999,1.8,1.4,0.5404705882352941,Very High Risk
00-0036425,DeeJay Dallas,RB,ARI,24.52941176470588,High,29.199999809265137,10.0,27.0,877.0,209.0,5,Handcuff,,30.0,-5.47058823529412,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0038738,Hunter Luepke,RB,DAL,24.52941176470588,Medium,26.200000166893005,6.0,25.5,877.0,209.0,5,Handcuff,,30.0,-5.47058823529412,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0038396,Eric Gray,RB,NYG,24.52941176470588,High,32.50000023841858,5.0,25.8,877.0,209.0,5,Handcuff,,30.0,-5.47058823529412,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0038045,Isaiah Spiller,RB,LV,24.52941176470588,Medium,23.9000004529953,5.0,24.1,877.0,209.0,5,Handcuff,,30.0,-5.47058823529412,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0037594,Julius Chestnut,RB,TEN,24.52941176470588,Medium,19.299999952316284,3.0,24.8,877.0,209.0,5,Handcuff,,30.0,-5.47058823529412,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0037745,Velus Jones Jr.,RB,CAR,24.2985533962817,High,26.09999990463257,10.0,28.3,882.0,214.0,5,Handcuff,,32.62838923671318,-8.329835840431482,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0036269,La'Mical Perine,RB,PIT,24.235484701322083,Medium,8.099999904632568,2.0,27.6,883.0,215.0,5,Handcuff,,32.54369983589853,-8.308215134576447,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0036842,Kene Nwangwu,RB,NYJ,23.975359984410797,Medium,15.0,2.0,27.6,884.0,216.0,5,Handcuff,,32.19440124288969,-8.219041258478896,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0036096,J.J. Taylor,RB,HOU,22.34117647058824,Medium,9.200000047683716,1.0,27.7,894.0,217.0,5,Handcuff,,30.0,-7.658823529411762,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
