rank,name,position,consensus_adp,mock_count,adp_source,last_updated,data_quality,overall_rank,sources,sources_count,adp_std
134,Tyjae Spears,RB,133.91,47,sfb15,2025-06-21 10:09:28.082026,high,134,['sfb15'],1,0.0
135,Darnell Mooney,WR,135.11,47,sfb15,2025-06-21 10:09:28.082060,high,135,['sfb15'],1,0.0
136,Tre Harris,WR,135.24,47,sfb15,2025-06-21 10:09:28.082094,high,136,['sfb15'],1,0.0
137,Keon Coleman,WR,135.67,47,sfb15,2025-06-21 10:09:28.082129,high,137,['sfb15'],1,0.0
138,Jaydon Blue,RB,136.41,47,sfb15,2025-06-21 10:09:28.082164,high,138,['sfb15'],1,0.0
139,Luther Burden,WR,136.63,47,sfb15,2025-06-21 10:09:28.082198,high,139,['sfb15'],1,0.0
140,Trey Benson,RB,137.84,47,sfb15,2025-06-21 10:09:28.082233,high,140,['sfb15'],1,0.0
141,Jayden Higgins,WR,138.59,47,sfb15,2025-06-21 10:09:28.082268,high,141,['sfb15'],1,0.0
142,Geno Smith,QB,139.54,47,sfb15,2025-06-21 10:09:28.082304,high,142,['sfb15'],1,0.0
143,Rachaad White,RB,140.94,47,sfb15,2025-06-21 10:09:28.082339,high,143,['sfb15'],1,0.0
144,Tank Bigsby,RB,144.27,47,sfb15,2025-06-21 10:09:28.082374,high,144,['sfb15'],1,0.0
145,Bhayshul Tuten,RB,144.44,47,sfb15,2025-06-21 10:09:28.082409,high,145,['sfb15'],1,0.0
146,Anthony Richardson,QB,144.5,47,sfb15,2025-06-21 10:09:28.082445,high,146,['sfb15'],1,0.0
147,Isaac Guerendo,RB,145.33,47,sfb15,2025-06-21 10:09:28.082480,high,147,['sfb15'],1,0.0
148,Rashid Shaheed,WR,145.8,47,sfb15,2025-06-21 10:09:28.082514,high,148,['sfb15'],1,0.0
149,J.K. Dobbins,RB,147.44,47,sfb15,2025-06-21 10:09:28.082549,high,149,['sfb15'],1,0.0
150,Marvin Mims,WR,149.54,47,sfb15,2025-06-21 10:09:28.082584,high,150,['sfb15'],1,0.0
151,Ray Davis,RB,149.83,47,sfb15,2025-06-21 10:09:28.082619,high,151,['sfb15'],1,0.0
152,Kyle Williams,WR,150.64,47,sfb15,2025-06-21 10:09:28.082654,high,152,['sfb15'],1,0.0
153,Sam Darnold,QB,150.67,47,sfb15,2025-06-21 10:09:28.082689,high,153,['sfb15'],1,0.0
154,Zach Ertz,TE,150.88,47,sfb15,2025-06-21 10:09:28.082723,high,154,['sfb15'],1,0.0
155,Cade Otton,TE,151.26,47,sfb15,2025-06-21 10:09:28.082758,high,155,['sfb15'],1,0.0
156,Hunter Henry,TE,151.7,47,sfb15,2025-06-21 10:09:28.082792,high,156,['sfb15'],1,0.0
157,Jack Bech,WR,151.81,47,sfb15,2025-06-21 10:09:28.082827,high,157,['sfb15'],1,0.0
158,Brenton Strange,TE,154.71,47,sfb15,2025-06-21 10:09:28.082861,high,158,['sfb15'],1,0.0
159,Austin Ekeler,RB,156.12,47,sfb15,2025-06-21 10:09:28.082897,high,159,['sfb15'],1,0.0
160,Mason Taylor,TE,156.13,47,sfb15,2025-06-21 10:09:28.082932,high,160,['sfb15'],1,0.0
161,Rashod Bateman,WR,158.65,47,sfb15,2025-06-21 10:09:28.082967,high,161,['sfb15'],1,0.0
162,Tyler Allgeier,RB,160.81,47,sfb15,2025-06-21 10:09:28.083002,high,162,['sfb15'],1,0.0
163,Mike Gesicki,TE,162.93,47,sfb15,2025-06-21 10:09:28.083038,high,163,['sfb15'],1,0.0
164,Jalen McMillan,WR,163.15,47,sfb15,2025-06-21 10:09:28.083073,high,164,['sfb15'],1,0.0
165,Christian Kirk,WR,164.19,47,sfb15,2025-06-21 10:09:28.083108,high,165,['sfb15'],1,0.0
166,Wan’Dale Robinson,WR,165.19,47,sfb15,2025-06-21 10:09:28.083142,high,166,['sfb15'],1,0.0
167,Jaylen Wright,RB,166.86,47,sfb15,2025-06-21 10:09:28.083177,high,167,['sfb15'],1,0.0
168,Rico Dowdle,RB,167.11,47,sfb15,2025-06-21 10:09:28.083212,high,168,['sfb15'],1,0.0
